Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Luxury Brand,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,56508,2,28254,1774
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,213,0,,1
,2025-12-04,Visit IG_041125,Distric focus_22-45_U,GIÁNG SINH NGỌT NGÀO HƯƠNG GOURMAND CÙNG BORNTOSTANDOUT®,profile_visit_view,profile_visit_view,7822,5,"1564,4",147
,2025-12-04,Visit IG_041125,Distric focus_22-45_U,VDO_V1_041225_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ,profile_visit_view,profile_visit_view,2653,3,"884,33",49
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Perfume,CRS_V1_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,80,0,,1
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Luxury Brand,SGI_V2_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,109,0,,4
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,125395,2,"62697,5",1134
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Perfume,CRS_V2_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,60749,0,,435
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Perfume,SGI_V2_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,59487,0,,676
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,2490,0,,37
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,108165,8,"13520,63",3341
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1060,1,1060,18
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Perfume,VDO_V1_281125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,15848,0,,115
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Luxury Brand,VDO_V1_281125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,9630,0,,51
,2025-12-05,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,profile_visit_view,profile_visit_view,86920,56,"1552,14",2742
,2025-12-05,Impression FB_041125,Distric focus_22-45_U,NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,reach,reach,38424,5819,"6603,2",5965
,2025-12-05,Impression FB_041125,Distric focus_22-45_U,GIÁNG SINH NGỌT NGÀO HƯƠNG GOURMAND CÙNG BORNTOSTANDOUT®,reach,reach,80407,12830,"6267,11",12830
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Luxury Brand,NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,6,0,,1
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Luxury Brand,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,63569,3,"21189,67",1431
